username,tweet,review
berserkerblade,RTUOLNoticias: Terceirização e Reforma Trabalhista podem piorar situação da Previdência http://ift.tt/2o8GbXX,0
nedicr56,Com Dilma em BSB o @mtst_ detonava o MCMV. #ForaDilma #RARARARARARÁ ! https://twitter.com/carosamigos/status/910504008468582400 …,-1
AlessaCastro2,Cidades têm protestos contra reforma da Previdência e terceirização http://dlvr.it/NmbrtQ,0
Renan__Gregorio,"Vale lembrar tbm uma vez que tinha um cara discursando em pró da Dilma aqui na praça, e ele pegou o microfone e gritou DILMA É O CARALHO""""",0
camilamaral_,"é contra a terceirização , reforma da previdência , entre outros motivos!",-1
jessiandradee,"mas vai ter paralisação contra a reforma da previdência , trabalhista e terceirização na sexta",0
WaldeckCarneiro,Não à absurda Reforma da Previdência ! Contra a Terceirização ! Pela volta da nossa Democracia! #ForaTemer http://fb.me/Q4eGzZLO,-1
valterdemesquit,"Claro que teve, o golpe, a terceirização , a reforma da Previdência , a reforma trabalhista, a recessão e o desespero do povo!",-1
RBD_rebelde_MX,"É reforma da previdência , é reforma do ensino médio, é terceirização ... SERIO O QUE ESTÁ ACONTECENDO NESSE PAÍS? #NãoàTerceirização",-1
A22410779,Quem defende Corrupto Ladrão é cúmplice! E pare de passar vergonha defendendo este safado do Lula !!,-1
Ericson2712,Os eleitores tem que tomar cuidado com esse populismo de falar mal do PT e do Lula vai ser bom para o Brasil!!!!,0
vitimasBancoop,ROBERTO DIAS na FOLHA SP: Elite brasileira é a nossa tragédia [ ELITE POLITICA PÓS LULA/ DILMA do PT NÉ?],-1
crad666,"mas a dilma também defendia a terceirização e reforma da previdência . Ou seja, nisso seria a mesma coisa e no resto pior.",-1
Sin2Psi,Congresso da FENAPSI: Primeira mesa de sábado aborda terceirização e Reforma da Previdência . http:/www.sinpsi.org.br/index.php/noticia/index/id5377 …,0
sintep,"Hoje 31 de março JACIARA PAROU! DIA DE MOBILIZAÇÃO CONTRA A TERCEIRIZAÇÃO , A REFORMA DA PREVIDÊNCIA E EM DEFESA... http://fb.me/SSFASvsi",0
tonycoutinho,"Não adianta amigos, os canalhas já aprovaram a terceirização irrestrita e vão aprovar a reforma trabalhista e da previdência . #molotovneles",-1
WeganThi,Armando monteiro é a favor da terceirização e reforma da previdência .. imagina se for governador de Pernambuco...o q vai fazer,-1
jpacheco_adv,Lula O Pinocchio Brasileiro ! pic.twitter.com/0IVHr4QxIy,-1
TiaBiba49,"Enquanto distraem a população chistórias rocambolescas, Reforma da Previdência , Terceirização , e outras, vão ganhando espaço #AcordaBrasilpic.twitter.comrnM14NaA5E",-1
fenobraga,Dilma lutou pela democracia https://twitter.com/alexandregarcia/status/910293132134289408 …,1
Milliekiki,"Dilma defende a Terceirização e a Reforma da Previdência , com bastante ênfase. https://twitter.com/Anaamvs_Sanches/status/858528993523453953 …",1
AnaFonsecAns,"NÓS NÃO QUEREMOS TERCEIRIZAÇÃO E MUITO MENOS REFORMA DA PREVIDÊNCIA , OUVIU A GENTE? NÃO QUEREMOS! NÃO, NÃO E NÃO! https://twitter.com/Planalto/status/844743848161087494 …",-1
pedrofowl,Eu queria muito que as pessoas que reclamam da reforma da Previdência e da Terceirização pelo menos lessem os projetos de lei,0
midemello,"Ele está dando uma aula de direito. Não votei na Dilma ou Temer, mas sejamos justos. A denúncia é inepta e Janot foi absudamente primário.",1
LIMABATITA,Região de Campinas tem ato contra reforma da Previdência e terceirização nesta sexta feira G1 Camp: http:/ln.is/www.youtube.comYTWux … via,0
ClaudiaBorin,"Retweeted Implicante ( @implicante_org ): Via BNDES, os governos Lula e Dilma financiaram mais de R$ 10 bilhões em... http://fb.me/tT4CY5OS",0
cityportalsp,Ministro do STJ nega pedido de suspeição de Moro feito por defesa de Lula | Brasil |... http://fb.me/1G2gQ4HPM,0
gcurados,OS MESMOS QUE VOTARAM A FAVOR DA TERCEIRIZAÇÃO VÃO VOTAR A FAVOR DA REFORMA DA PREVIDÊNCIA . VAMOS POSTAR OS NOMES DOS TRAIDORES.,-1
Matsia_,#31M Ato em Manaus #AM contra a terceirização e a reforma da Previdência pic.twitter.com/4uPgPNBb5D,0
oninhosp,"Lembrando, 3 últimos presidentes: Lula condenado e réu; Dilma impeachada e denunciada, Temer denunciado! Todos os 3 ligados diretamente.",-1
blogdarenatabh,"Depois de me informar melhor sobre a Reforma da Previdência e sobre a Terceirização , lendo opiniões de... http://fb.me/6vSr5b3eI",0
velosojosa,Reforma da previdência e regulamentação da terceirização . bate mais panela arrombado bate mesmo,-1
AmigosdaBahia,Manifestação na Av. Paulista em SP lotada contra a reforma da Previdência e contra a #Terceirização ! #31M Foto: #MídiaNINJA https://twitter.com/MidiaNINJA/status/847912366373306369 …,0
RobertoAOrtega1,"Lá, fora Trump. Aqui, fora Temer. Lá, viúvas do Obama. Aqui, viúvas da Dilma . Chora não, próxima eleição irão chorar bem mais!",-1
caslualves_,Sabe oq tem hoje? Duas aulas de sociologia. Sabe oq a professora falou? iremos discutir a reforma da previdência e a terceirização,0
rusbibe,"Ei, brasileiro, acorde! Seja contra essa Reforma Escandalosa da Previdência e a Terceirização ! #PreparaGreveGeral",-1
polibempisos,Para sua Felicidade o STJ acabou de rejeitar o pedido da Subprocuradora e Moro continua julgando LuLa o Molusco Ladrao do nosso Brasil,0
ArnoniHanke,A terceirização é tão ou mais nefasta que a reforma da previdência pois os terceirizados jamais se aposentarão. https://twitter.com/requiaopmdb/status/848123448656318464 …,-1
HugneiF,Tem político canalha que se diz cristão é vota a favor da Pec do congelamento terceirização e reforma da previdencia .,-1
PINHEIRONOGUE,Fortaleza tem manifestação contra reforma da Previdência e terceirização http://g1.globo.com/ceara/noticia/2017/03/fortaleza-tem-manifestacao-contra-reforma-da-previdencia-e-terceirizacao.html?utm_source=twitter&utm_medium=share-bar-desktop&utm_campaign=share-bar-feed …,0
luisk2017,"Conferir cada voto! Para cobrar em 2018! Ser contra a reforma da previdência e votar em liberar terceirização é limpar vômito, vomitando! pic.twitter.com/HdCMGAhvR3",-1
luccafuccil,reforma da previdência + terceirização em todos os setores,0
MgracaGalvao,Esse energúmeno não tem respaldo nas Forças Armadas,-1
Alexdivieso,CNBB critica terceirização e reforma da Previdência em nota pública https://news.google.com/news/amp?caurl =http%3A%2F%2Fagenciabrasil.ebc.com.br%2Famphtml%2Fgeral%2Fnoticia%2F2017-03%2Fcnbb-critica-terceirizacao-e-reforma-da-previdencia-em-nota-publica#a-89af836b-24ab-4194-afad-abf6b52fce02 …,0
hugofiorelli,Lula diz que é preciso ficar atento às manifestações dos militares http://a.msn.com/01/pt-br/AAskg cH?ocid=st …,0
cridaonews1,País tem protestos contra reforma da Previdência e terceirização | Brasil 247 https://evsarteblog.wordpress.com/2017/04/01/pai s-tem-protestos-contra-reforma-da-previdencia-e-terceirizacao-brasil-247 …pic.twitter.comZDOPbgLfol,0
Caiumi,Votos para um paredão de um big brother: 107 milhões; votos contra a reforma da previdência e terceirização : menos de 2 milhões. Ignorancia,-1
FUP_Brasil,Manifestação no Rio de Janeiro contra a reforma da Previdência e a Terceirização chega agora na Cinelândia. O ato... http://fb.me/1fSqeoZQh,0
portaljovempan,"Na Lava Jato, Bendine chama Dilma como testemunha https:/buff.ly/2xvNLDEpic.twitter.com4M9tbMlIDQ",0
cajuIia,"ATO CONTRA A REFORMA DA PREVIDÊNCIA , REFORMA TRABALHISTA E TERCEIRIZAÇÃO HOJE 17H NA PRAÇA DA INCONFIDÊNCIA RT PRA CONVOCAR GERAL",0
MidiaNINJA,"FORA, TEMER! FORA, PEZÃO! FORA, PICCIANI! Manifestação no RJ contra a reforma da Previdência e a Terceirização chega agora na Cinelândia. pic.twitter.com/N7J8DixIVV",-1
OsvladPereira,"Após TRF4, ontem foi a vez do STJ confirmar à defesa de Lula que o juiz Sérgio Moro é sem dúvidas imparcial e pode, sim, julgar Lula pic.twitter.com/UGr354FbZ7",0
Gizando,Eu tô aqui por causa de todos — participando de Ato Contra a Reforma da Previdência e a Terceirização,0
mlsEJA,"Dentre as medidas: retirar de pauta a reforma da Previdência , a reforma trabalhista e revogar a lei da terceirização http:/www.valor.com.br/politica/4947332pt-apresenta-pacote-de-seis-medidas-emergenciais-para-economia …",0
Reporter24Horas,RIO: Rio tem protesto contra reforma da Previdência e terceirização http://dlvr.it/Nmjy2Y #Repórter24Horas,0
EdmilsonPequeno,O meu deputado @luizcoutopt votou contra a terceirização e é contra a reforma da previdência .,0
Tica_Fernandes,Cidades têm protestos contra reforma da Previdência e terceirização http://g1.globo.com/politica/noticia/cidades-tem-protestos-contra-reforma-da-previdencia-e-terceirizacao.ghtml?utm_source=twitter&utm_medium=share-bar-desktop&utm_campaign=share-bar …,0
mfaunner,"Então, dia 31 tem. Contra a terceirização e a reforma da previdência . Cola lá",0
sgiaxa,@silviasilva_s2 Nesse pré-sal tem as digitais criminosas de Lula e Dilma !!!,-1
marialicefreit2,"Ao que parece, ainda estamos na antessala do Inferno, a Terceirização a beira de ser aprovada, e outra imundice A Reforma da Previdência . https://twitter.com/_PatriciaPillar/status/842782649680773120 …",-1
TecaNotari,Lula : 'daqui a pouco eles vão na Bolsa de Valores escolher um presidente' | Brasil 247 https://www.brasil247.com/pt/247/sp247/318692Lula-'daqui-a-pouco-eles-v%C3%A3o-na-Bolsa-de-Valores-escolher-um-presidente'.htm … via @brasil247,0
MNLINDA,Terceirização e Reforma Trabalhista podem piorar situação da Previdência via @blogdosakamoto http:/blogdosakamoto.blogosfera.uol.com.br/2017/03/23/terceirizacao-e-reforma-trabalhista-podem-piorar-situacao-da-previdencia …,0
WagnerPaivaCCB,Lula tem dia de derrotas e chororô | Felipe Moura Brasil https://youtu.be/3I4tBJHM7Ck via @YouTube,0
ArthurLulaM,Parabéns a todos os envolvidos! Realmente um grande avanço para o país! https://twitter.com/jmpmello/status/911185664808509442 …,1
HaddadPro,#VazaTemer Bernie Sanders condena afastamento de Dilma e pede ação do governo dos EUA http://bit.ly/2bgZucm,-1
Claudio_OS_SP,"Como explica o fatiamento do impeachment, a cassação da chapa Dilma Temer, a compra de votos para barrar denúncia? Lava-jato é só um ponto?",-1
AndreSouzaOBJ,"DIA 31 É RUA! Contra a reforma da previdência , contra a terceirização , contra a retirada dos direitos... http://fb.me/3rFv9iif9""",0
LuizBaccarin,Lula na cadeia 2018,0
Paulox36,"Cartel de los Soles"" que seria liderado por Diosdado Cabello, amigo de Lula e Dilma . https://twitter.com/RivaldoVZLA/status/910150424371572742 …""",0
NanciPerri,Porque na sua propaganda de TV não coloca o vídeo do Lula defendendo a terceirização e a Reforma da Previdência . Desmascara esse Bandido!,-1
jpacheco_adv,Terroristas chefiados pex Deputado da V Leopoldina! Dilma e Bacuri!https://twitter.com/jpacheco_adv/status910541804096942080 …,-1
g1paranacgsul,Manifestantes fazem ato contra reforma da Previdência e terceirização no Centro de Curitiba https://glo.bo/2nTXVJu,0
RafaelMendes81,legenda de aluguel igual a que vc usou da Marina em 2014 e nem assim venceu? #AécioNaCadeia,-1
skitersp,Aécio na boa para de ser safado seu pilantra,-1
jasonziiinho,"Dilma defendeu a terceirização , defendeu a reforma da previdência e não se viu ninguém falar nada.",0
victorgiraf,Não é facista não... é burro mesmo.. agora com a bela reforma da previdência e a terceirização as panelas se calaram.,-1
SindFarSC,"Dia 3103 - Dia de Mobilização Contra a Reforma da Previdência , Trabalhista e a Terceirização . Participe: Em...http://fb.me1RwhfTkD8",0
ASCON_CNPq,Terceirização e Reforma Trabalhista podem piorar situação da Previdência Leonardo Sakamoto 2303/2017. O...http://fb.me13sH524Tr,0
itsRaynniere,"Cidades têm protestos contra reforma da Previdência e terceirização , via G1 > Goiás http:/ift.tt/2nmMYMwpic.twitter.comMXuiFGHWS9",0
ingosbrinquedos,Fortaleza tem manifestação contra reforma da Previdência e terceirização http://fb.me/6vS6f1t2p,0
SoyAecioNeves,#SempreAécio #SouAecio eternamente #AecioPresidenteBR,1
geodrade,"Pela Reforma da Previdência e Trabalhistas, terceirização irrestrita, congelamento dos gastos sociais. SIM!",1
l3l3ck4,"Esse #Vemprarua hoje só pode ser piada... São a favor da reforma da previdência , terceirização esse povo vive no mesmo país que eu???",-1
FerreiramcDo,"quem não reza a cartilha não toca no rock in rio ,patrocinadores @RedeGlobo Lula o heptarréu nenhum gritinho .",-1
cirogames12,Porra de João Doria com chances de ir p segundo turno com Bolsonaro e a esquerda chamando Ciro de golpista pq xingou Lula estarcCalheiros,-1
lcrive,"Cledimar, você recusa FATOS. Não defendo corruPTo, apenas antes temos que punir quem comandou roubalheira,quem quebrou o país,Lula Dilma /PT,https://twitter.com/MCLEDIMAR/status911006650567462912 …",-1
lucianotigana,"LULA contra tudo e contra todos , safados partidários",1
BancariosRio,Envie sua mensagem de protesto contra a terceirização e a reforma da Previdência http:/www. bancariosrio.org.br/2013/ultimas-noticias/item38653-envie-sua-mensagem-de-protesto-contra-a-terceirizacao-e-a-reforma-da-previdencia …,0
MentalConfusao,"Ficam nessa de Foro Privilegiado e passa Reforma da Previdência , trabalhista, terceirização ...",-1
Laecio04,Prometeram q se Dilma saísse o país iria melhorar. Reforma da previdência /trabalhista/ terceirização ..Isto melhora sua vida? Vc foi enganado!,-1
ffjardim,Lula diz que é preciso ficar atento às manifestações dos militares. http://www1.folha.uol.com.br/poder/2017/09/ 1920672-lula-diz-que-e-preciso-ficar-atento-as-manifestacoes-dos-militares.shtml …,0
Luaser,"#GreveGeral28deabril Nem um Direito a Menos Contra a Reforma Da Previdência , Trabalhis e a Terceirização STF #LibertemZéDireu pic.twitter.com/ZR63eVpXLN",0
OsvladPereira,PT decide suspender Palocci por confessar crimes e incriminar Lula #LulaNaCadeia http:/www. folhapolitica.org/2017/09/pt-dec ide-suspender-palocci-por.html#.WcV-3Am3Bwg.twitter …pic.twitter.comzZS5d0fGFK,-1
Pablogois42,A culpa é da Dilma !,-1
alfaiaha,"Agora,com a terceirização ,tanto faz a reforma da previdência passar ou não.Impossível nesse esquema se aposentar com 65 anos.",-1
frestadajanela,"Se metade destes jovens fossem às ruas protestar contra a Reforma da Previdência e Terceirização ... Mas teve Olê, olá...Lula Lula! https://twitter.com/emirsader/status/845955298338766848 …",-1
10Lpaulo1,é pouco ainda precisa parar à reforma da previdência e a loucura da terceirização !!!,-1
murilo_zibetti,não. tenho saído e protestado e atuado com os grupos com os quais me afino. só ñ vejo esse empenho em quem tanto aplaudiu a queda da dilma,0
lcrive,Afundado na lama está Lula Dilma /PT que comandaram Saque ao país e quem osapoiouapoia. #LulaNaCadeia #ExtinçãoDoPT #LulaNuncaMais,-1
lgbarbosaa,Eu não acho tão impossível o partido se auto-financiar... para eleger o Lula acho possível.,0
cresssergipe,CRESSSE convida Assistentes Sociais para mobilização contra a reforma da previdência e a terceirização Mais uma...http://fb.me3BmTq4aaI,0
ibagmood,"Reforma da previdência , terceirização ... E vocês preocupados com a carne podre que a gente come desde sempre e para sempre e ninguém liga",-1
eitagiovan4,Cidades têm protestos contra reforma da Previdência e terceirização http://ift.tt/2nmMYMw,0
thewermenson,"Sobrinha de Geddel, fazendo pose no dia do impeachment de Dilma . Hoje, o tio está preso e o pai foragido. Pois é... pic.twitter.com/9WebKk3Mjn",0
Jolanarchiste,"Esses vagabundos enchem a boca pra dizer que a ' reforma ' da previdência , terceirização , fim da CLT,... são fundamentais. Paredón neles!!! https://twitter.com/veja/status/85 1946351239847938 …",-1
sindaebahia,"Reforma trabalhista, Lei da Terceirização e PEC do Teto são alguns dos projetos centrais de Michel Temer que já... http://fb.me/1Sm5kfEcV",0
Iwrittensins,"#UmAnoDeGolpe e ja aprovaram a PEC 55, Terceirização e querem passar a reforma da Previdência",-1
Acordacidade,Grupo protesta contra terceirização e reforma da Previdência em Salvador http://bit.ly/2nwo3Kp,0
diasjulio1,O senhor foi o primeiro a desrespeitar os resultados da eleição de 2014 e agora vem com essa de preservar a vontade dos eleitores? #justiça,-1
guarosen,E do Lula/ Dilma não tem caráter! Tem fome e preguiça!,-1
ProBrasil_,"Somos a favor da terceirização , acreditamos que a previdencia precisa de uma reforma urgente( Mas não da forma que o gover. quer)",1
ronaldominowa,"@MichelTemer Rio em Guerra, cade você que disse saber lidar com bandidos !!! Omisso, molenga, nem para ser vice da idiota dilma serviu !",-1
Tg_247,Reforma da previdência Reforma trabalhista Terceirização Destruição da petrobras,-1
VitorLGA,Gostei de um vídeo @YouTube http://youtu.be/EZObri7jGEg?aT ente … não rir com o novo discurso do Lula,0
nickevg,"Todo dia é dia de #foratemer Não à reforma da previdência , não à terceirização irrestrita. pic.twitter.com/ee80zXMNVC",-1
Gabi_CCarneiro,"gente, pensem um pouco A REFORMA DA PREVIDÊNCIA E A TERCEIRIZAÇÃO não vão trazer benefícios nenhum para nós.TEMOS QUE REIVINDICAR SIMMM",-1
Saramalacon,Bicho só hoje eu fui me informar minimamente sobre essas coisas de reforma da previdência e terceirização,0
PovoComLula,Divulgação de grampos de Lula e Dilma por Moro foi para turbinar Impeachment e favorecer Temer: http:/goo.gl/UKEoaI #MoroamigodeCunhapic.twitter.com9NLZiIURpZ,0
SamuelIgor,Cidade mineira tem protesto contra a reforma da Previdência e terceirização https:/glo.bo/2oiD5Vd #G1pic.twitter.comCOxhnABDBN,0
lunardi_renan,"Terceirização aprovada, reforma da previdência quase lá, e quase nenhuma mobilização,",-1
Josesousa61,"@bemvindo_ator Eles desistiram da reforma da previdência , pois com a terceirização da forma que foi aprovada quem é que vai se aposentar.",-1
kccporn,vai ter manifestaçao contra terceirizaçao e reforma da previdencia quero ir mas minha mae n vai deixar pq ela acha q eu vou levar tiros,0
Assetj,Placar da terceirização mostra que não será fácil aprovar reforma da Previdência - ISTOÉ DINHEIRO http://fb.me/2Y2EJfSF0,0
lcrive,"Lula liberou bilhões à JBS através do BNDES que se tornou sócio de 23% da empresa, ligação dele c/Yesley/JBS foi intensa,Temer era deputado!",0
carloslrandromm,O programa não erra. Erra quem o acompanha. 112milhoes de voto numa eliminação e 0 gente na rua pela terceirização e reforma da previdência .,-1
jalfredobc,"Gostei de um vídeo @YouTube http://youtu.be/XOvqJ_-xNg4?aA to … contra a Reforma da Previdência , Trabalhista e a terceirização",-1
cesarwallace,Olha aí Lula . Assassinos não têm medo do suicídio. Cabra frouxo da peste! https://twitter.com/OGloboPolitica/status/911279833627418625 …,-1
marcosasas,"Grande ato em CaruaruPE contra o Projeto de Lei da Terceirização , Reforma Trabalhista e da Previdência ! #GreveGera … https://www.pscp.tv/wa9HlEzFXZ0Vn RGJCTXprUXZ8MVlxeG9rTWp5bFF4dq3dGOQwLa5kfaPAYSu2_NROi15iKSSMHIRLbbkiBRWD …",0
Jin_InoueYoukai,"Já se ferram com o Pimentel (Operação Acrônimo)... Votar em Dilma no Senado, é ser parte da jumentude do PT! #ForaPimentel #LulaNaCadeia",-1
idkimdead,esperando a reforma da previdência e a terceirização afetarem o país pra todo mundo acordar e perceber que já fudeu tudo,-1
politicalivre,Aladilce critica ACM Neto por defender a Reforma da Previdência e projeto de Terceirização https://goo.gl/Gb3ZSC,0
lucasflavio20,"Contra as propostas de reforma da Previdência , Trabalhista e a Terceirização !Uma avalanche de retrocesso! #ParadaNacional #EuApoioAGreveGeral pic.twitter.com/Oen5AibQVK",-1
eitagiovan4,Manifestantes fazem ato contra reforma da Previdência e terceirização no Centro de Curitiba http://ift.tt/2nFIH8Y,0
FMS_Gabriel,"É um projeto IMENSO de piorar as condições dos trabalhadores, junto com a terceirização massiva e a reforma da Previdência #BrasilEmGreve",-1
CursinhoMafalda," Reforma trabalhista, Lei da Terceirização e PEC do Teto são alguns dos projetos centrais de Michel Temer que já... http://fb.me/5LvkmZWHx""",0
cazedosanjos,"Desculpa, mas as Dilma colocou muito dos safados lá. Sem falar que o ambiente geral contribuiu para o congresso ganhar força",-1
caradepalha,"A Rede Globo derrubou Dilma Rousseff, a Presidenta honesta. Mas por que a Globo não conseguiu derrubar o... http://fb.me/6FLxLh3kj",0
SrMimimi,"Esse povo insiste no Aecio? Sério mesmo? Nós queremos que o Aécio Snow mofe na papuda, de preferência na cela ao lado do Ali Barbudo Lula",-1
pedrosp3,"Fundadora do PT faz desabafo, arrebenta com Lula e Dilma e texto viraliza nas redes sociais http:/www.jornaldacidadeonline.com.br/noticias/5854 fundadora-do-pt-faz-desabafo-arrebenta-com-lula-e-dilma-e-texto-viraliza-nas-redes-sociais.amp …",-1
FNEngenheiros,"A terceirização é um “equívoco” e a reforma da previdência ,“inaceitável”. Por Murilo Pinheiro, presidente da #FNE . http:/goo.gl/HnfrX1pic.twitter.comiyJWJOF53F",-1
CentroNorteNot,Educadores protestam contra a Terceirização e Reforma da Previdência http://fb.me/8KhqZx6Vo,0
dantaskim,"Cadê mobilização igual no Fora Dilma ? Você não vê mais acontecer, ninguém faz mais nada além de 'protesto' online",-1
jeffersonns3,Campinas tem ato contra reforma da Previdência e terceirização nesta sexta-feira http://dlvr.it/NmZRsn,0
edsoncosta35,"o PT iria fazer a mesma reforma da previdência e a terceirização , jenio""""",-1
Rosevania_Nunes,"Reforma da Previdência . Reforma Trabalhista. Terceirização . O povo mineiro foi às ruas na sexta, 31, em Belo... http://fb.me/N8espj0D",0
JDanieldf,Quais as propostas do Bolsonaro? - Déficit da Previdência - situação militares - Reforma CLT - Terceirização - Sistema tributário,0
ernaniLuizSoa10,Tribunal nega anulação da sentença que condenou Lula . Veja mais no UOL. Acesse: http://uol.com/bkkjNb,0
lourivan47,Temer ta cuidado para acabar com a desigualdade ele pretende implantar a miserabilidade e só passa a reforma da previdência ou terceirização,-1
PovoComLula,"Calendário da Lava Jato coincide'' com atos de coxinhas e votação de Impeachment: http:/goo.gl/h9xrCI #MoroamigodeCunhapic.twitter.comjtNtL0weFG""",-1
_pedroinaciosp,"Retweeted Emir Sader ( @emirsader ): Se o Lula tivesse governado para os ricos, nao seria perseguido, como o FHC... http://fb.me/3aVcDjUyZ",0
priscilasilva06,"Terceirização , perda de direitos trabalhistas, humilhação e retrocesso. Ah, tem mais:  reforma da previdência "". Um golpe atrás do outro!!""",-1
freitas6388,AO VIVO | Protestos contra a reforma da Previdência e terceirização ocorrem em várias cidades | Brasil | EL PAÍS http:/ln.is/brasil.elpais.com/brv64yC …,0
marciap40,misericórdia !!! O mesmo fazem com Dilma quando exaltam o seu torturador !!,0
Rogobbogarcia,"Foi Gópi, Josias ! Com a Dilma era tudo melhor, economia crescendo , normalidade republicana ... aliás com Lula que era bom! Vc é PTistao",1
LorisCanhetti,"Primeiro a gente tira a Dilma e depois... Depois aprovaram a PEC 55, Terceirização e querem passar a reforma da Previdência #UmAnoDeGolpe",-1
Americoator,"Bom dia! Cuidado com terceirização e a reforma da previdência , deixe o churrasco pra depois, agente pode viver sem carne.",-1
caverrna,A reforma da previdência de nada adiantará se aprovado PL da terceirização . MEI bota comida no prato ao invés de pagar INSS,-1
